UKBB_code,UKBB_description,ATC_code
2038460150,paracetamol,N02B
1140868226,aspirin,N02B
1140871310,ibuprofen,M01A
1140861958,simvastatin,C10B
1141188442,glucosamine product,M01A
1140865634,omeprazole,A02B
1141194794,bendroflumethiazide,C03A
1140860806,ramipril,C09B
1140879802,amlodipine,C09D
1141191044,levothyroxine sodium,H03A
1140866738,atenolol,C07A
1193,omega-3/fish oil supplement,C10A
1140864752,lansoprazole,A02B
1141146234,atorvastatin,C10B
1140852976,multivitamins,A11A
1140861998,ventolin 100micrograms inhaler,R03A
1140884600,metformin,A10B
1140860696,lisinopril,C09B
1140884488,diclofenac,M01A
1140879616,amitriptyline,N06A
1140921600,citalopram,N06A
1140879406,ranitidine,A02B
1140879760,bisoprolol,C07F
1140888560,perindopril,C09B
1187,chondroitin product,M01A
1195,vitamin c product,A11G
1140909726,vitamin c product,A11G
1140922174,alendronate sodium,M05B
1140879778,doxazosin,C02C
1140883504,cetirizine,R06A
1140875408,allopurinol,M04A
1140881856,salbutamol,R03A
1141176832,seretide 50 evohaler,R01A
1141156836,candesartan cilexetil,C09C
1140879540,fluoxetine,N06A
1140884516,thyroxine product,H03A
1140864992,tramadol,N02A
1140871050,calcichew d3 tablet,A11C
1140888266,warfarin,B01A
1140916356,losartan,C09D
1140874744,gliclazide,A10B
1140926934,tamsulosin,G04C
1140909786,beclometasone,R03B
1140888646,felodipine,C08C
1140870422,folic acid product,B03B
1141164828,adcal-d3 1.5g/10micrograms chewable tablet,A11C
1141152998,irbesartan,C09D
1140888552,enalapril,C09B
1140909708,furosemide,C03C
1140862772,loratadine,R06A
1140871024,vitamin b compound tablet,B03B
1141146138,lipitor 10mg tablet,C10B
1140871462,naproxen,M01A
1141168318,clopidogrel,B01A
1140879842,propranolol,C07A
1140874420,quinine,M09A
1140876136,beconase 50micrograms nasal spray,R01A
1140926606,salbutamol 100micrograms spacehaler,R03A
1140861806,aspirin 75mg tablet,N02B
1141192410,rosuvastatin,C10B
1141174520,symbicort 100/6 turbohaler,R01A
1140862382,becotide 50 inhaler,R01A
1140874930,prednisolone,R01A
1141192736,ezetimibe,C10B
1140866122,bendrofluazide,C03A
1140870390,ferrous sulphate,B03A
1140888648,pravastatin,C10B
1140869848,methotrexate,L01B
1140911734,ginkgo forte tablet,N06D
1140884444,codeine,N02A
1141150944,nasonex 0.05% aqueous nasal spray,R01A
1140879428,mebeverine,A03A
1140872228,gabapentin,N03A
1141145660,valsartan,C09D
1140888098,fluticasone,R01A
1140867878,sertraline,N06A
1140916282,venlafaxine,N06A
1140868408,premarin 625micrograms tablet,G03C
1140876076,flixonase 50micrograms aqueous nasal spray,R01A
1140884654,beclomethasone,R01A
1141167594,qvar 50 inhaler,R01A
1140868550,finasteride,G04C
1140870954,vitamin d product,A11C
1140871112,vitamin e product,A11H
1140866078,indapamide,C09B
1140863144,zopiclone,N05C
1140909806,dosulepin,N06A
1140884464,dihydrocodeine,N02A
1141177526,esomeprazole,A02B
1141146428,fexofenadine,R06A
1140870164,tamoxifen,L02B
1140860954,isosorbide mononitrate,C01D
